"title","actual_film_rating"
"Bunch Minds","good"
"Butch Panther","bad"
"Butterfly Chocolat","bad"
"Cabin Flash","bad"
"Caddyshack Jedi","bad"
"Calendar Gunfight","good"
"California Birds","good"
"Camelot Vacation","bad"
"Campus Remember","good"
"Candidate Perdition","good"
"Candles Grapes","good"
"Canyon Stock","bad"
"Caper Motions","bad"
"Caribbean Liberty","good"
"Carol Texas","good"
"Carrie Bunch","bad"
"Casablanca Super","good"
"Casper Dragonfly","good"
"Cassidy Wyoming","good"
"Casualties Encino","good"
"Cat Coneheads","good"
"Catch Amistad","bad"
"Cause Date","good"
"Celebrity Horn","bad"
"Center Dinosaur","good"
"Chainsaw Uptown","bad"
"Chamber Italian","good"
"Champion Flatliners","good"
"Chance Resurrection","good"
"Chaplin License","good"
"Charade Duffel","good"
"Chariots Conspiracy","good"
"Chasing Fight","good"
"Cheaper Clyde","bad"
"Chicago North","good"
"Chicken Hellfighters","bad"
"Chill Luck","bad"
"Chinatown Gladiator","good"
"Chisum Behavior","good"
"Chitty Lock","good"
"Chocolat Harry","bad"
"Chocolate Duck","good"
"Christmas Moonshine","bad"
"Cider Desire","good"
"Cincinatti Whisperer","good"
"Circus Youth","good"
"Citizen Shrek","bad"
"Clash Freddy","good"
"Cleopatra Devil","bad"
"Clerks Angels","good"
"Clockwork Paradise","bad"
"Clones Pinocchio","good"
"Closer Bang","good"
"Club Graffiti","bad"
"Clue Grail","good"
"Clueless Bucket","good"
"Clyde Theory","bad"
"Coast Rainbow","bad"
"Coldblooded Darling","good"
"Color Philadelphia","good"
"Coma Head","good"
"Comancheros Enemy","bad"
"Comforts Rush","good"
"Command Darling","good"
"Commandments Express","good"
"Coneheads Smoochy","good"
"Confessions Maguire","good"
"Confidential Interview","good"
"Confused Candles","good"
"Congeniality Quest","bad"
"Connecticut Tramp","good"
"Connection Microcosmos","bad"
"Conquerer Nuts","good"
"Conspiracy Spirit","good"
"Contact Anonymous","good"
"Control Anthem","good"
"Conversation Downhill","good"
"Core Suit","good"
"Cowboy Doom","good"
"Craft Outfield","bad"
"Cranes Reservoir","good"
"Crazy Home","good"
"Creatures Shakespeare","bad"
"Creepers Kane","good"
"Crooked Frogmen","bad"
"Crossing Divorce","good"
"Crossroads Casualties","good"
"Crow Grease","bad"
"Crowds Telemark","good"
"Cruelty Unforgiven","bad"
"Crusade Honey","good"
"Crystal Breaking","good"
"Cupboard Sinners","good"
"Curtain Videotape","bad"
"Cyclone Family","good"
"Daddy Pittsburgh","good"
"Daisy Menagerie","good"
"Dalmations Sweden","bad"
"Dances None","bad"
"Dancing Fever","bad"
"Dangerous Uptown","good"
"Dares Pluto","good"
"Darkness War","good"
"Darko Dorado","good"
"Darling Breaking","good"
"Darn Forrester","good"
"Date Speed","bad"
"Daughter Madigan","good"
"Dawn Pond","good"
"Day Unfaithful","good"
"Dazed Punk","good"
"Deceiver Betrayed","bad"
"Deep Crusade","good"
"Deer Virginian","good"
"Deliverance Mulholland","bad"
"Desert Poseidon","good"
"Desire Alien","good"
"Desperate Trainspotting","good"
"Destination Jerk","bad"
"Destiny Saturday","good"
"Details Packer","good"
"Detective Vision","bad"
"Devil Desire","good"
"Diary Panic","good"
"Dinosaur Secretary","good"
"Dirty Ace","good"
"Disciple Mother","bad"
"Disturbing Scarface","good"
"Divide Monster","good"
"Divine Resurrection","good"
"Divorce Shining","good"
"Doctor Grail","good"
"Dogma Family","good"
"Dolls Rage","good"
"Donnie Alley","bad"
"Doom Dancing","bad"
"Doors President","good"
"Dorado Notting","good"
"Double Wrath","bad"
"Doubtfire Labyrinth","good"
"Downhill Enough","bad"
"Dozen Lion","good"
"Dracula Crystal","bad"
"Dragon Squad","bad"
"Dragonfly Strangers","good"
"Dream Pickup","good"
"Drifter Commandments","good"
"Driver Annie","good"
"Driving Polish","good"
"Drop Waterfront","good"
"Drumline Cyclone","bad"
"Drums Dynamite","bad"
"Duck Racer","good"
"Dude Blindness","good"
"Duffel Apocalypse","bad"
"Dumbo Lust","bad"
"Durham Panky","good"
"Dwarfs Alter","good"
"Dying Maker","good"
"Dynamite Tarzan","bad"
"Eagles Panky","good"
"Early Home","good"
"Earring Instinct","bad"
"Earth Vision","bad"
"Easy Gladiator","good"
"Edge Kissing","good"
"Effect Gladiator","bad"
"Egg Igby","good"
"Egypt Tenenbaums","bad"
"Element Freddy","good"
"Elephant Trojan","good"
"Elf Murder","good"
"Elizabeth Shane","good"
"Empire Malkovich","bad"
"Encino Elf","bad"
"Encounters Curtain","bad"
"Ending Crowds","bad"
"Enemy Odds","good"
"English Bulworth","bad"
"Enough Raging","good"
"Entrapment Satisfaction","bad"
"Escape Metropolis","good"
"Eve Resurrection","good"
"Everyone Craft","bad"
"Evolution Alter","bad"
"Excitement Eve","bad"
"Exorcist Sting","good"
"Expecations Natural","good"
"Expendable Stallion","bad"
"Express Lonely","good"
"Extraordinary Conquerer","good"
"Eyes Driving","good"
"Factory Dragon","bad"
"Falcon Volume","good"
"Family Sweet","bad"
"Fantasia Park","good"
"Fantasy Troopers","bad"
"Fargo Gandhi","good"
"Fatal Haunted","good"
"Feathers Metal","bad"
"Fellowship Autumn","good"
"Ferris Mother","good"
"Feud Frogmen","bad"
"Fever Empire","good"
"Fiction Christmas","bad"
"Fiddler Lost","good"
"Fidelity Devil","good"
"Fight Jawbreaker","bad"
"Finding Anaconda","bad"
"Fire Wolves","good"
"Fireball Philadelphia","bad"
"Firehouse Vietnam","bad"
"Fish Opus","good"
"Flamingos Connecticut","good"
"Flash Wars","good"
"Flatliners Killer","good"
"Flight Lies","good"
"Flintstones Happiness","good"
"Floats Garden","good"
"Flying Hook","good"
"Fool Mockingbird","good"
"Forever Candidate","good"
"Forrest Sons","good"
"Forrester Comancheros","good"
"Forward Temple","good"
"Frankenstein Stranger","bad"
"Freaky Pocus","good"
"Freddy Storm","good"
"Freedom Cleopatra","bad"
"French Holiday","good"
"Frida Slipper","good"
"Frisco Forrest","good"
"Frogmen Breaking","bad"
"Frontier Cabin","good"
"Frost Head","bad"
"Fugitive Maguire","good"
"Full Flatliners","good"
"Fury Murder","bad"
"Gables Metropolis","bad"
"Galaxy Sweethearts","good"
"Games Bowfinger","good"
"Gandhi Kwai","bad"
"Gangs Pride","good"
"Garden Island","good"
"Gaslight Crusade","good"
"Gathering Calendar","bad"
"Gentlemen Stage","good"
"Ghost Groundhog","good"
"Ghostbusters Elf","bad"
"Giant Troopers","good"
"Gilbert Pelican","bad"
"Gilmore Boiled","bad"
"Gladiator Westward","good"
"Glass Dying","bad"
"Gleaming Jawbreaker","good"
"Glory Tracy","good"
"Go Purple","bad"
"Godfather Diary","good"
"Gold River","good"
"Goldfinger Sensibility","bad"
"Goldmine Tycoon","bad"
"Gone Trouble","good"
"Goodfellas Salute","good"
"Gorgeous Bingo","good"
"Gosford Donnie","good"
"Graceland Dynamite","good"
"Graduate Lord","good"
"Graffiti Love","bad"
"Grail Frankenstein","good"
"Grapes Fury","bad"
"Grease Youth","bad"
"Greatest North","good"
"Greedy Roots","bad"
"Greek Everyone","good"
"Grinch Massage","good"
"Grit Clockwork","bad"
"Groove Fiction","bad"
"Grosse Wonderful","good"
"Groundhog Uncut","good"
"Gump Date","good"
"Gun Bonnie","bad"
"Gunfight Moon","bad"
"Gunfighter Mussolini","good"
"Guys Falcon","good"
"Half Outfield","good"
"Hall Cassidy","good"
"Halloween Nuts","good"
"Hamlet Wisdom","good"
"Handicap Boondock","bad"
"Hanging Deep","good"
"Hanky October","good"
"Hanover Galaxy","good"
"Happiness United","good"
"Hardly Robbers","good"
"Harold French","bad"
"Harper Dying","bad"
"Harry Idaho","good"
"Hate Handicap","bad"
"Haunted Antitrust","good"
"Haunting Pianist","bad"
"Hawk Chill","bad"
"Head Stranger","good"
"Heartbreakers Bright","good"
"Heaven Freedom","good"
"Heavenly Gun","good"
"Heavyweights Beast","good"
"Hedwig Alter","good"
"Hellfighters Sierra","good"
"High Encino","good"
"Highball Potter","bad"
"Hills Neighbors","bad"
"Hobbit Alien","bad"
"Hocus Frida","good"
"Holes Brannigan","good"
"Holiday Games","good"
"Hollow Jeopardy","good"
"Hollywood Anonymous","bad"
"Holocaust Highball","bad"
"Holy Tadpole","bad"
"Home Pity","good"
"Homeward Cider","bad"
"Homicide Peach","good"
"Honey Ties","bad"
"Hook Chariots","bad"
"Hoosiers Birdcage","good"
"Hope Tootsie","good"
"Horn Working","good"
"Horror Reign","bad"
"Hotel Happiness","good"
"Hours Rage","bad"
"House Dynamite","good"
"Human Graffiti","good"
"Hunchback Impossible","good"
"Hunger Roof","bad"
"Hunter Alter","good"
"Hunting Musketeers","good"
"Hurricane Affair","good"
"Hustler Party","good"
"Hyde Doctor","good"
"Hysterical Grail","good"
"Ice Crossing","good"
"Idaho Love","good"
"Identity Lover","good"
"Idols Snatchers","good"
"Igby Maker","good"
"Illusion Amelie","bad"
"Image Princess","good"
"Impact Aladdin","bad"
"Impossible Prejudice","good"
"Inch Jet","good"
"Independence Hotel","bad"
"Indian Love","bad"
"Informer Double","good"
"Innocent Usual","good"
"Insects Stone","bad"
"Insider Arizona","good"
"Instinct Airport","good"
"Intentions Empire","good"
"Interview Liaisons","good"
"Intolerable Intentions","good"
"Intrigue Worst","bad"
"Invasion Cyclone","good"
"Iron Moon","good"
"Ishtar Rocketeer","good"
"Island Exorcist","good"
"Italian African","good"
"Jacket Frisco","good"
"Jade Bunch","good"
"Japanese Run","bad"
"Jason Trap","good"
"Jawbreaker Brooklyn","bad"
"Jaws Harry","good"
"Jedi Beneath","bad"
"Jeepers Wedding","good"
"Jekyll Frogmen","good"
"Jeopardy Encino","bad"
"Jericho Mulan","good"
"Jerk Paycheck","good"
"Jersey Sassy","good"
"Jet Neighbors","good"
"Jingle Sagebrush","good"
"Joon Northwest","bad"
"Juggler Hardly","bad"
"Jumanji Blade","good"
"Jumping Wrath","bad"
"Jungle Closer","bad"
"Kane Exorcist","bad"
"Karate Moon","bad"
"Kentuckian Giant","good"
"Kick Savannah","bad"
"Kill Brotherhood","bad"
"Killer Innocent","good"
"King Evolution","good"
"Kiss Glory","good"
"Kissing Dolls","good"
"Knock Warlock","good"
"Kramer Chocolate","good"
"Kwai Homeward","bad"
"Labyrinth League","good"
"Lady Stage","good"
"Ladybugs Armageddon","bad"
"Lambs Cincinatti","good"
"Language Cowboy","bad"
"Lawless Vision","good"
"Lawrence Love","bad"
"League Hellfighters","good"
"Leathernecks Dwarfs","good"
"Lebowski Soldiers","good"
"Legally Secretary","good"
"Legend Jedi","bad"
"Lesson Cleopatra","bad"
"Liaisons Sweet","good"
"Liberty Magnificent","good"
"License Weekend","good"
"Lies Treatment","good"
"Life Twisted","good"
"Lights Deer","bad"
"Lion Uncut","bad"
"Loathing Legally","bad"
"Lock Rear","good"
"Lola Agent","good"
"Lolita World","good"
"Lonely Elephant","good"
"Lord Arizona","good"
"Lose Inch","bad"
"Loser Hustler","good"
"Lost Bird","good"
"Louisiana Harry","bad"
"Love Suicides","bad"
"Lovely Jingle","good"
"Lover Truman","good"
"Loverboy Attacks","bad"
"Luck Opus","good"
"Lucky Flying","good"
"Luke Mummy","good"
"Lust Lock","good"
"Madigan Dorado","good"
"Madison Trap","good"
"Madness Attacks","bad"
"Madre Gables","good"
"Magic Mallrats","bad"
"Magnificent Chitty","good"
"Magnolia Forrester","bad"
"Maguire Apache","good"
"Maiden Home","good"
"Majestic Floats","bad"
"Maker Gables","bad"
"Malkovich Pet","good"
"Mallrats United","bad"
"Maltese Hope","good"
"Manchurian Curtain","good"
"Mannequin Worst","good"
"Married Go","good"
"Mars Roman","bad"
"Mask Peach","good"
"Masked Bubble","bad"
"Massacre Usual","good"
"Massage Image","good"
"Matrix Snowman","good"
"Maude Mod","bad"
"Meet Chocolate","good"
"Memento Zoolander","good"
"Menagerie Rushmore","good"
"Mermaid Insects","good"
"Metal Armageddon","good"
"Metropolis Coma","good"
"Microcosmos Paradise","good"
"Midnight Westward","bad"
"Midsummer Groundhog","good"
"Mighty Luck","good"
"Mile Mulan","bad"
"Million Ace","good"
"Minds Truman","good"
"Mine Titans","good"
"Minority Kiss","bad"
"Miracle Virtual","good"
"Mission Zoolander","good"
"Mixed Doors","good"
"Mob Duffel","bad"
"Mockingbird Hollywood","bad"
"Mod Secretary","good"
"Model Fish","good"
"Modern Dorado","bad"
"Money Harold","good"
"Monsoon Cause","good"
"Monster Spartacus","good"
"Monterey Labyrinth","bad"
"Montezuma Command","bad"
"Moon Bunch","bad"
"Moonshine Cabin","good"
"Moonwalker Fool","good"
"Mosquito Armageddon","bad"
"Mother Oleander","bad"
"Motions Details","bad"
"Moulin Wake","bad"
"Mourning Purple","bad"
"Movie Shakespeare","good"
"Mulan Moon","bad"
"Mulholland Beast","good"
"Mummy Creatures","bad"
"Muppet Mile","good"
"Murder Antitrust","good"
"Muscle Bright","good"
"Music Boondock","bad"
"Musketeers Wait","good"
"Mussolini Spoilers","good"
"Mystic Truman","bad"
"Name Detective","good"
"Nash Chocolat","good"
"National Story","good"
"Natural Stock","bad"
"Necklace Outbreak","bad"
"Neighbors Charade","bad"
"Nemo Campus","good"
"Network Peak","good"
"Newsies Story","bad"
"Newton Labyrinth","bad"
"Nightmare Chill","good"
"None Spiking","bad"
"Noon Papi","good"
"North Tequila","good"
"Northwest Polish","good"
"Notorious Reunion","bad"
"Notting Speakeasy","bad"
"Novocaine Flight","bad"
"Nuts Ties","good"
"October Submarine","good"
"Odds Boogie","bad"
"Oklahoma Jumanji","bad"
"Oleander Clue","bad"
"Open African","good"
"Operation Operation","good"
"Opposite Necklace","good"
"Opus Ice","good"
"Orange Grapes","bad"
"Order Betrayed","good"
"Orient Closer","good"
"Oscar Gold","good"
"Others Soup","good"
"Outbreak Divine","bad"
"Outfield Massacre","bad"
"Outlaw Hanky","good"
"Oz Liaisons","good"
"Pacific Amistad","bad"
"Packer Madigan","bad"
"Pajama Jawbreaker","bad"
"Panic Club","good"
"Panky Submarine","good"
"Panther Reds","good"
"Papi Necklace","bad"
"Paradise Sabrina","good"
"Paris Weekend","good"
"Park Citizen","good"
"Party Knock","good"
"Past Suicides","good"
"Paths Control","good"
"Patient Sister","bad"
"Patriot Roman","good"
"Patton Interview","good"
"Paycheck Wait","good"
"Peach Innocent","good"
"Peak Forever","good"
"Pearl Destiny","good"
"Pelican Comforts","good"
"Perdition Fargo","good"
"Perfect Groove","good"
"Personal Ladybugs","bad"
"Pet Haunting","bad"
"Phantom Glory","good"
"Philadelphia Wife","good"
"Pianist Outfield","bad"
"Pickup Driving","good"
"Pilot Hoosiers","good"
"Pinocchio Simon","good"
"Pirates Roxanne","bad"
"Pittsburgh Hunchback","good"
"Pity Bound","good"
"Pizza Jumanji","good"
"Platoon Instinct","good"
"Pluto Oleander","good"
"Pocus Pulp","bad"
"Polish Brooklyn","bad"
"Pollock Deliverance","good"
"Pond Seattle","good"
"Poseidon Forever","good"
"Potluck Mixed","good"
"Potter Connecticut","good"
"Prejudice Oleander","good"
"President Bang","good"
"Pride Alamo","bad"
"Primary Glass","bad"
"Princess Giant","good"
"Private Drop","good"
"Prix Undefeated","good"
"Psycho Shrunk","good"
"Pulp Beverly","good"
"Punk Divorce","good"
"Pure Runner","good"
"Purple Movie","good"
"Queen Luke","good"
"Quest Mussolini","good"
"Quills Bull","good"
"Racer Egg","good"
"Rage Games","good"
"Raging Airplane","good"
"Raiders Antitrust","bad"
"Rainbow Shock","good"
"Random Go","good"
"Range Moonwalker","good"
"Reap Unfaithful","good"
"Rear Trading","bad"
"Rebel Airport","bad"
"Records Zorro","good"
"Redemption Comforts","good"
"Reds Pocus","good"
"Reef Salute","bad"
"Reign Gentlemen","good"
"Remember Diary","good"
"Requiem Tycoon","good"
"Reservoir Adaptation","good"
"Resurrection Silverado","bad"
"Reunion Witches","bad"
"Rider Caddyshack","good"
"Ridgemont Submarine","bad"
"Right Cranes","good"
"Rings Heartbreakers","bad"
"River Outlaw","bad"
"Road Roxanne","good"
"Robbers Joon","good"
"Robbery Bright","bad"
"Rock Instinct","bad"
"Rocketeer Mother","bad"
"Rocky War","good"
"Rollercoaster Bringing","good"
"Roman Punk","bad"
"Roof Champion","bad"
"Room Roman","bad"
"Roots Remember","bad"
"Roses Treasure","good"
"Rouge Squad","bad"
"Roxanne Rebel","bad"
"Rugrats Shakespeare","bad"
"Rules Human","good"
"Run Pacific","bad"
"Runaway Tenenbaums","bad"
"Runner Madigan","bad"
"Rush Goodfellas","bad"
"Rushmore Mermaid","good"
"Sabrina Midnight","good"
"Saddle Antitrust","good"
"Sagebrush Clueless","good"
"Saints Bride","good"
"Salute Apollo","good"
"Samurai Lion","good"
"Santa Paris","good"
"Sassy Packer","bad"
"Satisfaction Confidential","good"
"Saturday Lambs","good"
"Saturn Name","good"
"Savannah Town","bad"
"Scalawag Duck","good"
"Scarface Bang","good"
"School Jacket","good"
"Scissorhands Slums","good"
"Scorpion Apollo","good"
"Sea Virgin","good"
"Seabiscuit Punk","good"
"Searchers Wait","good"
"Seattle Expecations","good"
"Secret Groundhog","good"
"Secretary Rouge","good"
"Secrets Paradise","good"
"Sense Greek","good"
"Sensibility Rear","good"
"Seven Swarm","good"
"Shakespeare Saddle","good"
"Shane Darkness","good"
"Shanghai Tycoon","good"
"Shawshank Bubble","good"
"Shepherd Midsummer","bad"
"Shining Roses","bad"
"Ship Wonderland","good"
"Shock Cabin","good"
"Shootist Superfly","bad"
"Show Lord","good"
"Shrek License","good"
"Shrunk Divine","good"
"Side Ark","bad"
"Siege Madre","bad"
"Sierra Divide","bad"
"Silence Kane","bad"
"Silverado Goldfinger","good"
"Simon North","bad"
"Sinners Atlantis","good"
"Sister Freddy","good"
"Sky Miracle","good"
"Slacker Liaisons","good"
"Sleeping Suspects","good"
"Sleepless Monsoon","good"
"Sleepy Japanese","good"
"Sleuth Orient","bad"
"Sling Luke","bad"
"Slipper Fidelity","bad"
"Slums Duck","bad"
"Smile Earring","good"
"Smoking Barbarella","bad"
"Smoochy Control","bad"
"Snatch Slipper","good"
"Snatchers Montezuma","good"
"Snowman Rollercoaster","bad"
"Soldiers Evolution","good"
"Something Duck","good"
"Song Hedwig","bad"
"Sons Interview","good"
"Sorority Queen","bad"
"Soup Wisdom","bad"
"South Wait","good"
"Spartacus Cheaper","good"
"Speakeasy Date","good"
"Speed Suit","good"
"Spice Sorority","good"
"Spiking Element","good"
"Spinal Rocky","good"
"Spirit Flintstones","bad"
"Spirited Casualties","bad"
"Splash Gump","bad"
"Splendor Patton","bad"
"Spoilers Hellfighters","bad"
"Spy Mile","good"
"Squad Fish","good"
"Stage World","good"
"Stagecoach Armageddon","good"
"Stallion Sundance","bad"
"Stampede Disturbing","bad"
"Star Operation","good"
"State Wasteland","good"
"Steel Santa","good"
"Steers Armageddon","good"
"Stepmom Dream","good"
"Sting Personal","good"
"Stock Glass","good"
"Stone Fire","bad"
"Storm Happiness","bad"
"Story Side","bad"
"Straight Hours","bad"
"Strangelove Desire","bad"
"Stranger Strangers","good"
"Strangers Graffiti","good"
"Streak Ridgemont","bad"
"Streetcar Intentions","good"
"Strictly Scarface","good"
"Submarine Bed","good"
"Sugar Wonka","good"
"Suicides Silence","good"
"Suit Walls","good"
"Summer Scarface","bad"
"Sun Confessions","bad"
"Sundance Invasion","bad"
"Sunrise League","good"
"Sunset Racer","bad"
"Super Wyoming","good"
"Superfly Trip","bad"
"Suspects Quills","good"
"Swarm Gold","bad"
"Sweden Shining","good"
"Sweet Brotherhood","good"
"Sweethearts Suspects","bad"
"Tadpole Park","good"
"Talented Homicide","bad"
"Tarzan Videotape","good"
"Taxi Kick","bad"
"Teen Apollo","good"
"Telegraph Voyage","good"
"Telemark Heartbreakers","good"
"Temple Attraction","good"
"Tenenbaums Command","bad"
"Tequila Past","good"
"Terminator Club","good"
"Texas Watch","bad"
"Theory Mermaid","bad"
"Thief Pelican","good"
"Thin Sagebrush","good"
"Ties Hunger","good"
"Tights Dawn","bad"
"Timberland Sky","bad"
"Titanic Boondock","good"
"Titans Jerk","good"
"Tomatoes Hellfighters","bad"
"Tomorrow Hustler","good"
"Tootsie Pilot","bad"
"Torque Bound","good"
"Tourist Pelican","good"
"Towers Hurricane","bad"
"Town Ark","good"
"Tracy Cider","bad"
"Trading Pinocchio","good"
"Traffic Hobbit","good"
"Train Bunch","good"
"Trainspotting Strangers","good"
"Tramp Others","bad"
"Translation Summer","bad"
"Trap Guys","good"
"Treasure Command","bad"
"Treatment Jekyll","bad"
"Trip Newton","good"
"Trojan Tomorrow","good"
"Troopers Metal","bad"
"Trouble Date","good"
"Truman Crazy","good"
"Turn Star","good"
"Tuxedo Mile","good"
"Twisted Pirates","good"
"Tycoon Gathering","good"
"Unbreakable Karate","bad"
"Uncut Suicides","good"
"Undefeated Dalmations","good"
"Unfaithful Kill","good"
"Unforgiven Zoolander","bad"
"United Pilot","bad"
"Untouchables Sunrise","good"
"Uprising Uptown","good"
"Uptown Young","good"
"Usual Untouchables","good"
"Vacation Boondock","good"
"Valentine Vanishing","bad"
"Valley Packer","bad"
"Vampire Whale","good"
"Vanilla Day","good"
"Vanished Garden","bad"
"Vanishing Rocky","good"
"Varsity Trip","good"
"Velvet Terminator","good"
"Vertigo Northwest","good"
"Victory Academy","bad"
"Videotape Arsenic","good"
"Vietnam Smoochy","bad"
"Villain Desperate","good"
"Virgin Daisy","good"
"Virginian Pluto","bad"
"Virtual Spoilers","good"
"Vision Torque","bad"
"Voice Peach","bad"
"Volcano Texas","bad"
"Volume House","good"
"Voyage Legally","bad"
"Wagon Jaws","good"
"Wait Cider","bad"
"Wake Jaws","good"
"Walls Artist","good"
"Wanda Chamber","good"
"War Notting","good"
"Wardrobe Phantom","good"
"Warlock Werewolf","good"
"Wars Pluto","good"
"Wash Heavenly","good"
"Wasteland Divine","good"
"Watch Tracy","bad"
"Waterfront Deliverance","good"
"Watership Frontier","bad"
"Wedding Apollo","bad"
"Weekend Personal","good"
"Werewolf Lola","good"
"West Lion","good"
"Westward Seabiscuit","bad"
"Whale Bikini","good"
"Whisperer Giant","good"
"Wife Turn","good"
"Wild Apollo","bad"
"Willow Tracy","good"
"Wind Phantom","bad"
"Window Side","good"
"Wisdom Worker","bad"
"Witches Panic","good"
"Wizard Coldblooded","good"
"Wolves Desire","bad"
"Women Dorado","bad"
"Won Dares","good"
"Wonderful Drop","good"
"Wonderland Christmas","good"
"Wonka Sea","good"
"Words Hunter","good"
"Worker Tarzan","good"
"Working Microcosmos","good"
"World Leathernecks","bad"
"Worst Banger","good"
"Wrath Mile","bad"
"Wrong Behavior","good"
"Wyoming Storm","good"
"Yentl Idaho","good"
"Young Language","bad"
"Youth Kick","bad"
"Zhivago Core","bad"
"Zoolander Fiction","good"
"Zorro Ark","good"
